screen_name,username,user_id,tweet_id,timestamp,timestamp_epochs,text,requesting_help,disaster,languages,location
JennieAHolland,JesusTheOnlySaviour,3182288394.0,1.15e+18,7/11/19 21:13,1562879616.0,louisiana declares state of emergency we all need to take this very v  via warning for areas prayers needed now for people struggling in flood waters,1.0,floods,en,United States
kort_rob,Rob Kort,9.93e+17,1.15e+18,7/11/19 17:44,1562867076.0,should a save that million dollars to help with the flood victims that are going to need assistance in louisiana instead of wasting it on americas dictators parade on the th of july,0.0,floods,en,"Pittsburgh, PA"
Bahlonee,Anton Lavelle,19835975.0,1.15e+18,7/11/19 11:07,1562843243.0,hi hot ness it mystifies me why anyone would live in southern louisiana don t need hurricanes to get flooded constant floods,0.0,floods,en,"Belleville, NJ"
johnhhaskell,Tintin au Pays des Soviets,169931230.0,1.15e+18,7/11/19 4:52,1562820733.0,if your drivers license says louisiana on it you need to have flood insurance,0.0,floods,en,"Fort Lee, FL"
sarahstyles,sarah tullier,6446782.0,1.15e+18,7/10/19 18:18,1562782682.0,on our way to louisiana for a week pray it doesn t flood or do any serious damage there s a serious storm hurricane of some sort coming we don t need this also going do some work on my house,0.0,floods,en,"Austin, TX"
mbender224,Maria B,8.26e+17,1.17e+18,8/31/19 22:40,1567291246.0,farmers need your support now more than ever president trump i m sure you are aware all crops were destroyed by floods this season especially in nebraska frames are hurtin,1.0,floods,en,"Staten Island, NY"
Tammy8156,Tammy Russell,317597216.0,1.19e+18,10/21/19 23:53,1571701999.0,should we forget about what we need here just to keep handing over a bunch of money we have provided a lot to pr what about us that lives in nebraska and went through a flood there are other states that need aid too and we havent just spent the money,0.0,floods,en,"Omaha, Ne"
CcloverFarms,CClover Farms,1.11e+18,1.21e+18,12/29/19 15:28,1577633327.0,after a year of floods on our farm it would look good on our farm which is in nebraska thank you for doing this giveaway there are many people that need,0.0,floods,en,"Nebraska, USA"
UNLNutritionEd,UNL Nutrition Ed,4038033498.0,1.13e+18,5/14/19 15:16,1557846991.0,whether its a flash flood or a slow onset flood excessive amounts of water can cause significant damage from nebraska extension is your trusted source for flood related information campus county based experts ready to help you get the answers you need,0.0,floods,en,"Nebraska, USA"
Riley12Ann,Ann Riley,1653932706.0,1.12e+18,4/15/19 0:15,1555287314.0,maybe flood clean up that hit most of nebraska some of the nebraska peeps just need a day of enjoyment of husker football,0.0,floods,en,"Beatrice, NE"
Rahn18,Gabe Rahn,437964856.0,1.12e+18,4/14/19 21:29,1555277374.0,no one ever said it does the spring game yesterday was all about raising money for nebraska flood relief no need to take shots man,0.0,floods,en,"LeMars, IA"
MulticulturalGI,MCofGI,34712033.0,1.11e+18,4/5/19 21:01,1554498090.0,we want to thank sierra club and grand island community foundation donors for their flood relief donations if you know immigrant or newcomer families living in central nebraska who need assistance with recovery have them call the office at,0.0,floods,en,"Grand Island, Nebraska"
Daveveng,Dave Venghaus,26066390.0,1.11e+18,3/17/19 22:53,1552863232.0,i always donate to anyone in need in america especially for those affected by natural disasters thanks for sharing about nebraska floods suggest but that doesn t mean we cannot help those in need globally respect for you bringing up floods,0.0,floods,en,Los Angeles
SFKevin4,SF.Kevin,1.08e+18,1.11e+18,3/17/19 7:24,1552807499.0,i would much rather hear about the deaths and destruction our own americans are suffering through with the massive floods in nebraska the people who lost homes animals and family that need prayers and help,1.0,floods,en,"Corpus Christi, TX"
threerivers_ph,Three Rivers Public Health,4714971972.0,1.11e+18,3/16/19 15:45,1552751113.0,shelter update am if you are in need of shelter please go to fremont nazareen church at johnson road fremont ne,1.0,floods,en,"Fremont, NE"
zxyfinancial,zxfutures,1240485961.0,1.11e+18,3/16/19 11:06,1552734417.0,nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald,0.0,floods,en,Hong Kong
zxyfinancial,zxfutures,1240485961.0,1.11e+18,3/16/19 11:06,1552734417.0,nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald,0.0,floods,en,Hong Kong
zxyfinancial,zxfutures,1240485961.0,1.11e+18,3/16/19 11:06,1552734417.0,nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald,0.0,floods,en,Hong Kong
julesrs007,Jules For BernieⓋ🌹🐾🐨🐎 #KoalasNotCoal,29393077.0,1.11e+18,3/16/19 8:00,1552723249.0,how to help nebraska flood victims see list of different organizations accepting donations plus a list of items in need,0.0,floods,en,"Florida, USA"
HICAHS,HICAHS - Ag Health & Safety,260834390.0,1.11e+18,3/15/19 15:30,1552663859.0,winter storm has devastated nebraska and parts of south dakota stay safe check out these resources from on farm flood recovery  if you need someone to talk to averas farmer stress hotline,0.0,floods,en,"Fort Collins, CO"
IowaGrown101,Pamela Hagedorn,2360060491.0,1.11e+18,4/2/19 6:49,1554187763.0,puerto rico doesnt need anymore money they waste what we send them and they are too lazy to get off their butts and rebuild their own island the farmers need relief especially in nebraska where the floods are,1.0,floods,en,"Carroll, IA"
BThomps8896,Gingersnap™️,633452781.0,1.11e+18,3/27/19 10:14,1553681641.0,there are homeless veterans homeless children people suffering from natural disaster people without clean drinking water and people who need help in the united states so no i m not going to share a post to be aware about a flood when this same thing is going on in nebraska,0.0,floods,en,"Alfred, NY"
DawsonTire,Dawson Tire & Wheel,2559400986.0,1.11e+18,3/25/19 17:52,1553536344.0,hi family if you are able to donate to any nebraska flood groups please do we just made a deliver to north east nebraska and there are still thousands that need help clean water nonperishable food cleaning supplies give us a call if you need guidance,1.0,floods,en,"Gothenburg, NE"
Mr_Relay,Something Something Dark Side,9.17431622655402e+17,1.1936925516869755e+18,2019-11-11 00:50:56,1573433456.0,as a resident of sonoma county california my heart goes out to the people of suffering from the over the past years we ve had the  only smoke in my area and recently please heed evac orders be safe,0.0,fire,en,"California, USA"
Greg_Palast,Greg Palast,15450660.0,1.1936019719509484e+18,2019-11-10 18:51:00,1573411860.0,power companies have two jobs keep the lights on and don t kill your customers pg e flunks on both counts,0.0,fire,en,"London, UK"
lesliedines,Leslie Kelly,16789203.0,1.1935833279716925e+18,2019-11-10 17:36:55,1573407415.0,had such a wonderful delicious inspiring uplifting weekend in wine country y all should go  at soda rock winery,0.0,fire,en,"Seattle, Memphis"
easternways,Eastern Ways,105699337.0,1.1950338621427425e+18,2019-11-14 17:40:50,1573753250.0,a huge thank you to all who contributed to our you generously helped donate a total of lbs of food,1.0,fire,en,"Sacramento, CA"
HainesForSF,Shaun Haines 力是亮,8.530077088149545e+17,1.1948056670951667e+18,2019-11-14 02:34:04,1573698844.0,thoughts san francisco sonoma county looking for,0.0,fire,en,"San Francisco, CA"
HainesForSF,Shaun Haines 力是亮,8.530077088149545e+17,1.1947187138674278e+18,2019-11-13 20:48:32,1573678112.0,thoughts san francisco state puc to investigate,0.0,fire,en,"San Francisco, CA"
TheSoulfulEMU,Mohd. Imran (乇мմ™),190804002.0,1.1943398419676733e+18,2019-11-12 19:43:02,1573587782.0,a tree off highway in smoldered and the breeze blowing embers around,0.0,fire,en,"Delhi, India"
HainesForSF,Shaun Haines 力是亮,8.530077088149545e+17,1.1932356902023905e+18,2019-11-09 18:35:32,1573324532.0,thoughts san francisco wine country wildfire,0.0,fire,en,"San Francisco, CA"
HainesForSF,Shaun Haines 力是亮,8.530077088149545e+17,1.1929866726878044e+18,2019-11-09 02:06:02,1573265162.0,thoughts san francisco low amount of burned homes,0.0,fire,en,"San Francisco, CA"
ChantelleHLee,Chantelle Lee,4875597740.0,1.1929608418694308e+18,2019-11-09 00:23:23,1573259003.0,healdsburg is holding a welcome home event for residents after the forced them to leave their town maggie medeiros her husband hank skewis and their friend linda cott came to thank first responders they put their lives on the line everyday for us medeiros at healdsburg plaza,0.0,fire,en,"Santa Rosa, CA"
HainesForSF,Shaun Haines 力是亮,8.530077088149545e+17,1.192897714582737e+18,2019-11-08 20:12:32,1573243952.0,thoughts san francisco sonoma state students,0.0,fire,en,"San Francisco, CA"
distressline,Disaster Distress,211543116.0,1.1928609625016033e+18,2019-11-08 17:46:30,1573235190.0,were here  at,0.0,fire,en,United States
Howard_Pen4Rent,Howard Daniel,4903665830.0,1.191783033067565e+18,2019-11-05 18:23:11,1572978191.0,latest blog post safe home warm and grateful  or for entire blog,0.0,fire,en,"Santa Rosa, CA"
CampButte,Butte County Camp Fire Lawyers,1.0653842013340508e+18,1.1917727574506168e+18,2019-11-05 17:42:22,1572975742.0,deadline to file for kincade fire damages is november,0.0,fire,en,"Paradise, CA"
Friendly_Force,FriendlyForce_Live,1.086057754245116e+18,1.1917587492848722e+18,2019-11-05 16:46:42,1572972402.0,join friendlyforce today,0.0,fire,en,"Austin, TX"
AceDailyNews,#AceNewsReport,7.433987778563318e+17,1.1916265750679634e+18,2019-11-05 08:01:29,1572940889.0,rt nasajpl burn scar from californias seen from space by nasas aster  ktla november  at am,0.0,fire,en,United Kingdom
AQEnvironmental,AQ Environmental,2500079881.0,1.1915743959462748e+18,2019-11-05 04:34:09,1572928449.0,delivering in sonoma county to reduce the damage in buildings we and buildings,0.0,fire,en,"Los Angeles, CA"
bettycjung,Betty C. Jung,118788479.0,1.1915436790618235e+18,2019-11-05 02:32:05,1572921125.0,false color view of the burn scar from the as it appeared on october,0.0,fire,en,United States
HainesForSF,Shaun Haines 力是亮,8.530077088149545e+17,1.1915391491587645e+18,2019-11-05 02:14:05,1572920045.0,thoughts san francisco smoke damage challenges north,0.0,fire,en,"San Francisco, CA"
redcarwine,Red Car Wine,37976632.0,1.1915134466987336e+18,2019-11-05 00:31:57,1572913917.0,while the lights may go out at times the stars over continue to shine read more of our day of a day series about the recent,0.0,fire,en,"West Sonoma Coast, CA"
rsmith779,Rick Smith,77223490.0,1.1914807285691635e+18,2019-11-04 22:21:56,1572906116.0,ca fire updates  am update list of the current wildfires in ca sonoma county  acres contained tehama county acres contained ventura county  acres contained,0.0,fire,en,"Santa Maria, CA"
HainesForSF,Shaun Haines 力是亮,8.530077088149545e+17,1.1914574763500544e+18,2019-11-04 20:49:33,1572900573.0,thoughts san francisco resource center to help kincade,1.0,fire,en,"San Francisco, CA"
